,d,K,norm,sigma,n,trial,loc_median,scale_iqr,skew_quantile,loc_mle,scale_mle,kappa_mle
63,2.0,-2.0,0.0,0.125,8.0,3.0,0.0,0.2293013632297516,-1.0,1.3187864849272502e-08,0.1100283010015029,1.8619731042559882
64,2.0,-2.0,0.0,0.125,8.0,4.0,0.0,0.1859397292137146,-1.0,8.97863313389525e-09,0.09640375911492459,1.7950226687329174
65,2.0,-2.0,0.0,0.125,8.0,5.0,0.0,0.2601868584752083,-1.0,2.1004183678627405e-08,0.10162110382139297,1.9970713353119252
66,2.0,-2.0,0.0,0.125,8.0,6.0,0.0,0.28974366933107376,-1.0,2.6341998272286607e-08,0.1492770578592567,1.7433609512397503
67,2.0,-2.0,0.0,0.125,8.0,7.0,0.0,0.16858624294400215,-1.0,1.1655928610492764e-08,0.07706126986528913,2.013908484349117
68,2.0,-2.0,0.0,0.125,8.0,8.0,0.0,0.12472421675920486,-1.0,7.239263686954275e-08,0.12274895993188051,2.226421303767505
69,2.0,-2.0,0.0,0.125,8.0,9.0,0.0,0.17994456365704536,-1.0,6.31912696652572e-09,0.07911137993199704,2.2407164163512063
70,2.0,-2.0,0.0,0.125,16.0,0.0,-0.009921568911522627,0.14572058618068695,-0.863827491069514,8.21551524566656e-09,0.08949768916325423,1.7187220227649744
71,2.0,-2.0,0.0,0.125,16.0,1.0,-0.014804862439632416,0.18531882017850876,-0.8402227855177191,4.1230885665865014e-08,0.09550311806852295,1.668618753453632
72,2.0,-2.0,0.0,0.125,16.0,2.0,-0.008615932427346706,0.14596255868673325,-0.8819432530524717,6.659953677464546e-08,0.07515220002914381,1.7781249629800153
73,2.0,-2.0,0.0,0.125,16.0,3.0,-0.02158221509307623,0.21688350290060043,-0.8009787300146333,7.27664864952726e-08,0.11721129367547932,1.651009984616168
74,2.0,-2.0,0.0,0.125,16.0,4.0,-0.0256796358153224,0.20676109567284584,-0.7516008925010264,3.795060033322668e-09,0.11980218915743306,1.666613724064261
75,2.0,-2.0,0.0,0.125,16.0,5.0,-0.007416096283122897,0.2664624750614166,-0.9443366554227677,8.417429146730299e-08,0.1337712492024442,1.722337995597878
76,2.0,-2.0,0.0,0.125,16.0,6.0,-0.015396208502352238,0.13848456740379333,-0.7776473033639919,7.086204821300368e-09,0.08254710240453736,1.6759230051977556
77,2.0,-2.0,0.0,0.125,16.0,7.0,-0.01179908961057663,0.10956085659563541,-0.7846112201527516,2.0831418671912777e-08,0.07320797897994208,1.6706483999981723
